# TIME-CKS exported from Petrel Studio.
# Well log LFP_VP_V used to extend TD-relationship below last check-shot (1m sampling).
WELL,TVDSS,TWT
NO_16_1-12,-0.0,0.0
NO_16_1-12,568.68,0.6586000000000001
NO_16_1-12,583.88,0.6678999999999999
NO_16_1-12,599.18,0.6795
NO_16_1-12,614.37,0.6930000000000001
NO_16_1-12,629.57,0.7076
NO_16_1-12,644.87,0.7227
NO_16_1-12,660.07,0.7414
NO_16_1-12,675.37,0.7564
NO_16_1-12,690.57,0.7694
NO_16_1-12,705.77,0.7842
NO_16_1-12,721.07,0.779
NO_16_1-12,736.27,0.8136
NO_16_1-12,751.57,0.8280000000000001
NO_16_1-12,766.77,0.8429
NO_16_1-12,781.97,0.858
NO_16_1-12,797.27,0.873
NO_16_1-12,812.47,0.8883
NO_16_1-12,827.77,0.9031
NO_16_1-12,842.97,0.9176000000000001
NO_16_1-12,858.17,0.9326000000000001
NO_16_1-12,873.47,0.9472
NO_16_1-12,888.67,0.9622
NO_16_1-12,903.97,0.9769
NO_16_1-12,919.17,0.9912000000000001
NO_16_1-12,934.36,1.0055
NO_16_1-12,949.66,1.0206
NO_16_1-12,964.86,1.0355
NO_16_1-12,980.06,1.0498
NO_16_1-12,995.36,1.0634000000000001
NO_16_1-12,1010.56,1.0768
NO_16_1-12,1025.86,1.0904
NO_16_1-12,1041.06,1.1039
NO_16_1-12,1056.36,1.1178
NO_16_1-12,1071.56,1.1319000000000001
NO_16_1-12,1086.76,1.1459000000000001
NO_16_1-12,1102.06,1.1607
NO_16_1-12,1117.26,1.1747
NO_16_1-12,1132.56,1.1882000000000001
NO_16_1-12,1147.76,1.2018
NO_16_1-12,1162.96,1.2156
NO_16_1-12,1178.26,1.2293
NO_16_1-12,1193.46,1.2430999999999999
NO_16_1-12,1208.66,1.2572
NO_16_1-12,1223.96,1.2714
NO_16_1-12,1239.26,1.2866
NO_16_1-12,1254.46,1.3014000000000001
NO_16_1-12,1269.76,1.3162
NO_16_1-12,1284.96,1.3295000000000001
NO_16_1-12,1300.16,1.343
NO_16_1-12,1315.36,1.3579
NO_16_1-12,1330.66,1.3719000000000001
NO_16_1-12,1345.85,1.3860000000000001
NO_16_1-12,1361.15,1.4001
NO_16_1-12,1376.35,1.4141
NO_16_1-12,1391.55,1.4284000000000001
NO_16_1-12,1406.85,1.443
NO_16_1-12,1422.05,1.4578
NO_16_1-12,1437.35,1.4724000000000002
NO_16_1-12,1452.55,1.4872
NO_16_1-12,1467.75,1.5019
NO_16_1-12,1483.05,1.5163
NO_16_1-12,1498.25,1.5304000000000002
NO_16_1-12,1513.55,1.5453
NO_16_1-12,1528.75,1.5597
NO_16_1-12,1543.85,1.574
NO_16_1-12,1559.15,1.5887
NO_16_1-12,1574.35,1.6037000000000001
